SWV ITM Data Console - ITM Port: 0
C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -4145, Y = -917, Z = 14036
Gyro Offsets: X = -466, Y = 163, Z = -193
ax, ay, az, gx, gy, gz
-0.1171, 0.0836, 0.0325, 5.5878, -75.2366, 18.4580
-0.1713, 0.0206, 0.0510, -9.0229, -62.3740, 30.2672
-0.2143, -0.0551, 0.0056, -29.7405, -51.2214, 40.0611
-0.1760, -0.0253, -0.0139, -42.7710, -41.5725, 47.0916
0.0750, 0.2545, 0.0479, -6.5038, -65.1908, 47.6412
-0.1210, 0.0687, -0.0173, -4.6489, -65.1298, 40.7176
-0.0615, 0.0643, -0.0217, -21.9008, -53.6183, 46.8931
-0.0588, 0.0511, 0.0020, -9.8092, -56.9237, 40.9542
-0.0749, -0.0051, -0.0205, -15.0840, -51.7863, 35.5649
-0.0485, 0.0054, -0.0215, -24.6794, -44.9695, 29.7023
-0.0148, 0.0079, -0.0305, -32.9084, -35.8931, 27.2137
0.0164, 0.0311, -0.0518, -27.4962, -33.8092, 18.1221
0.0462, 0.0237, -0.0652, -28.0076, -26.3664, 16.2977
0.0897, 0.0508, -0.0491, -28.0916, -24.5649, 8.5115
0.1094, 0.0648, -0.0232, -19.7099, -24.7786, 9.0840
0.0926, 0.0535, -0.0320, -14.6947, -23.4504, 17.7710
0.0875, 0.0276, -0.0417, -16.9924, -15.7634, 23.2443
0.0877, 0.0128, -0.0747, -16.5114, -13.8626, 21.6947
0.0975, 0.0013, -0.0974, -12.3282, -7.1374, 16.5420
0.0516, 0.0447, -0.0312, -7.9084, 8.9313, 19.7328
0.1859, -0.0383, -0.1687, -14.4275, 15.0153, 12.9389
0.1475, -0.0026, -0.1318, -6.5038, 19.9313, 10.3053
0.1419, 0.0103, -0.1711, 5.9542, 31.8244, 19.3664
0.1609, 0.0120, -0.1252, 10.8550, 32.6183, 13.4427
0.1509, -0.0146, -0.1006, 15.5649, 34.2672, 21.3435
0.1893, -0.0129, -0.0618, 17.1221, 22.6260, 17.9924
0.1695, -0.0146, -0.1350, 16.4886, 17.5725, 18.4809
0.2339, 0.0157, -0.1196, 11.0458, 15.1679, 17.0000
0.2938, 0.0701, -0.1516, 4.8092, 21.1985, 23.7405
0.3629, 0.1114, -0.1355, 2.7405, 20.2366, 13.5191
0.3785, 0.0872, -0.0613, 0.5496, 21.5725, 9.4198
0.3643, 0.0784, 0.0239, -11.1450, 20.1145, 19.5878
0.3685, 0.0735, 0.1021, -9.2748, 10.7405, 30.9160
0.2635, 0.0303, 0.1228, 4.2366, -13.3206, 34.7634
0.1734, -0.0659, 0.1143, 25.5954, -31.5649, 28.5191
0.0455, -0.1835, 0.0593, 22.3511, -30.8931, 17.9389
-0.0402, -0.2155, 0.0237, 2.4351, -16.8626, 8.4809
-0.0978, -0.0930, -0.1465, -7.7176, 0.8931, 20.1832
0.0811, -0.0849, -0.0417, 2.5649, 1.5115, -7.5954
0.0401, -0.0834, -0.0671, 4.9542, 7.8626, -18.1298
0.1068, -0.0468, -0.0347, -3.2824, 17.7405, -14.6107
0.1541, -0.0192, 0.0037, 1.5802, 15.3282, -15.2519
0.1614, -0.0131, 0.0132, 13.3740, 9.5878, -15.9237
0.1419, -0.0390, -0.0022, 19.1069, 8.1298, -19.7099
0.1309, -0.0444, 0.0269, 22.5496, 11.0305, -18.0534
0.1570, -0.0388, 0.0442, 21.8473, 13.0763, -19.6031
0.1763, -0.0251, 0.0669, 17.1298, 15.4046, -17.1527
0.2032, 0.0062, 0.0781, 11.6031, 18.1756, -13.2977
0.2042, 0.0218, 0.0645, 5.1832, 18.6718, -10.7328
0.2186, 0.0186, 0.0842, 1.0000, 19.6870, -7.9008
0.2151, 0.0137, 0.1001, 0.9924, 16.6260, -3.8015
0.2051, -0.0082, 0.1008, 2.3893, 10.6565, -0.6794
0.1920, -0.0412, 0.0850, 1.5954, 8.1450, -6.2061
0.1639, -0.0783, 0.0776, 3.9771, 12.1832, -5.9313
0.1964, -0.0685, 0.0610, 3.3053, 9.1374, -11.8626
0.2576, -0.0161, 0.0625, 8.8015, 5.0000, -11.8244
0.2982, -0.0090, 0.0525, 13.0000, 1.7328, -5.8015
0.3199, -0.0102, 0.0547, 13.1298, -2.6412, -0.6794
0.3162, -0.0285, 0.0452, 10.3740, -5.4351, 4.9237
0.3091, -0.0383, 0.0364, 5.7481, -5.4885, 8.5878
0.2794, -0.0480, 0.0530, -0.5878, -4.2672, 9.2901
0.2652, -0.0392, 0.0869, -2.6107, -6.5420, 12.0229
0.2647, -0.0341, 0.1331, -2.5725, -10.3511, 13.2595
0.2642, -0.0324, 0.1431, -3.5344, -12.6641, 18.9160
0.2764, -0.0200, 0.1665, -0.0153, -17.8779, 21.8550
0.2764, -0.0297, 0.1763, 8.1069, -27.7252, 24.7863
0.2488, -0.0651, 0.1675, 10.9618, -34.2748, 32.8626
0.2442, -0.0900, 0.1555, 2.6412, -31.8321, 39.0382
0.2486, -0.0915, 0.1562, -14.8321, -21.7939, 41.2824
0.2791, -0.0507, 0.2095, -25.2595, -19.4886, 45.8168
0.2869, -0.0312, 0.2222, -26.2443, -24.0992, 53.4122
0.2642, -0.0544, 0.1819, -31.1908, -25.6794, 59.7252
0.2525, -0.0656, 0.1494, -37.4962, -23.6641, 62.6031
0.2354, -0.0934, 0.1094, -34.8168, -26.4275, 59.1374
0.1915, -0.1335, 0.0664, -28.2061, -28.2137, 54.8321
0.1487, -0.1718, 0.0020, -23.7099, -24.5573, 43.8626
0.1277, -0.1550, -0.0151, -19.9695, -17.7405, 31.5191
0.1424, -0.0954, -0.0471, -21.2748, -7.6412, 27.1832
0.2173, -0.0261, 0.0103, -30.2443, 0.6031, 18.4046
0.2855, 0.0447, 0.1228, -43.8244, 1.1298, 16.5725
0.2925, 0.0574, 0.1714, -47.2061, -12.0305, 22.0000
0.2842, 0.0267, 0.1584, -43.0382, -26.9695, 32.6412
0.2393, 0.0071, 0.0833, -28.3130, -39.9160, 32.6489
0.2308, -0.0529, -0.0630, -10.4046, -45.2443, 35.4580
0.1829, -0.0895, -0.1096, 3.7252, -43.6947, 25.1756
0.1209, -0.1262, -0.1064, 0.0763, -28.0992, 7.6947
0.1036, -0.1318, -0.0754, -13.5725, -16.9389, -2.7634
0.1363, -0.0688, -0.0232, -26.2901, -1.9466, -7.7634
0.1651, 0.0003, -0.0068, -38.2824, 9.5496, -6.3053
0.1937, 0.0455, 0.0083, -54.1832, 10.6947, 3.0611
0.2122, 0.1109, 0.0205, -50.5191, 12.7481, 10.1450
0.1929, 0.2073, 0.0066, -31.8244, 8.4656, 12.1450
0.0843, 0.0970, -0.3865, -38.7405, -0.7328, 26.2595
0.1094, 0.0093, -0.1008, 1.4198, -6.8321, 22.2519
0.0679, -0.0554, -0.0010, 10.6183, -17.8626, 17.6031
0.1258, -0.0505, 0.0005, 1.0000, -19.3740, -1.3206
0.1365, -0.0029, -0.0037, -7.5191, -9.4809, -12.0611
0.1956, 0.0318, -0.0312, -10.0687, -5.8092, -17.0687
0.2293, 0.0794, -0.0386, -9.9847, 4.1221, -9.2672
0.2354, 0.1136, -0.0276, -1.3053, 5.7786, 1.9084
0.1912, 0.0889, -0.0481, 11.8244, 8.6183, 17.1527
0.0884, -0.0056, -0.0264, 27.7710, 8.2595, 22.9008
0.0110, -0.1191, -0.0098, 26.0992, 7.6718, 22.9160
-0.0720, -0.2057, 0.0295, 13.2595, 12.3053, 10.4198
-0.0781, -0.2126, 0.0483, -5.3282, 19.0382, 0.4580
-0.0080, -0.1169, 0.0642, -20.2977, 19.5496, -1.7939
0.0953, -0.0114, 0.0691, -28.5191, 9.2901, -6.5649
0.1541, 0.0421, -0.0073, -25.9389, 2.9542, -1.9771
0.1407, 0.0040, -0.0427, -17.1145, -1.2137, 6.8168
0.1021, -0.0729, -0.0728, -8.4198, -7.3511, 8.5725
0.0679, -0.1113, -0.0813, -4.1908, -7.9542, -1.4656
0.0518, -0.1313, -0.0830, 0.3664, -8.7176, -12.0916
0.0740, -0.1432, -0.0232, -2.1450, -3.8626, -18.3282
0.0714, -0.1064, 0.0132, -6.1832, 0.6031, -22.4351
0.0897, -0.0671, 0.0222, -3.0229, 1.3130, -21.2290
0.1107, -0.0383, 0.0227, -0.5878, 1.3053, -25.3053
0.1094, -0.0517, 0.0149, 0.9313, 3.7863, -25.3435
0.1126, -0.0544, 0.0225, 6.6870, 2.5802, -17.3359
0.1287, -0.0422, 0.0063, 10.5191, 0.0153, -13.8321
0.1529, -0.0058, 0.0010, 17.6107, -4.0763, -11.1221
0.1321, -0.0214, -0.0049, 27.1450, -12.3588, -16.6107
0.0853, -0.0580, 0.0076, 29.6489, -15.1374, -23.7863
0.0877, -0.0370, 0.0608, 35.0153, -17.9695, -28.5649
0.0977, -0.0163, 0.0828, 42.6031, -20.6718, -27.4198
0.0943, -0.0143, 0.0901, 39.3053, -19.9847, -25.1756
0.1019, -0.0256, 0.0486, 32.7710, -20.7023, -27.2443
0.1558, 0.0181, 0.1096, 37.3588, -27.4122, -28.1221
0.1280, 0.0203, 0.0852, 37.3359, -25.6260, -33.5954
0.1512, 0.0306, 0.0601, 36.4809, -27.6565, -25.2977
0.1458, -0.0053, 0.0466, 30.4886, -26.0992, -21.6794
0.1231, -0.0239, 0.0046, 16.8015, -18.5420, -17.2519
0.1321, -0.0195, 0.0176, 11.1908, -14.6107, -14.6947
0.1434, 0.0045, 0.0391, 4.8244, -11.4962, -10.4656
0.1710, 0.0257, 0.0388, -1.2443, -11.3893, -1.8702
0.1954, 0.0501, 0.0408, -0.1145, -13.4809, 1.7863
0.1939, 0.0579, 0.0364, 1.5267, -14.4351, 3.4122
0.1922, 0.0538, 0.0315, 4.4733, -15.7863, 1.5649
0.1981, 0.0396, 0.0288, 8.9695, -15.3893, 4.1221
0.1707, -0.0131, 0.0137, 12.2901, -12.3817, 5.8702
0.1790, -0.0031, 0.0000, 22.0687, -13.1450, 13.2824
0.2037, 0.0320, 0.0149, 35.7710, -20.5725, 21.1603
0.1937, 0.0457, 0.0547, 48.5954, -27.1374, 28.0382
0.1734, 0.0225, 0.0122, 39.6641, -14.1450, 26.1603
0.1234, 0.0137, 0.0400, 26.5191, 4.6183, 3.7405
0.1990, -0.1486, 0.3025, -23.8397, 42.3435, -29.7328
0.4678, 0.2974, -0.0662, -22.5114, 21.5802, 4.7328
0.2559, 0.1082, -0.0327, 12.8550, 0.4122, 2.0305
0.1609, -0.0197, 0.0583, 13.2519, -0.5115, 8.9847
0.1502, -0.0065, 0.0596, 2.1221, 2.0458, 14.8626
0.1568, 0.0025, 0.0029, -5.0687, 4.6794, 16.8015
0.1846, 0.0606, 0.0920, -16.7481, 3.5649, 25.7557
0.1839, 0.0357, 0.0823, -25.7786, 6.5191, 28.8321
0.2059, 0.0455, 0.0503, -28.1679, 3.4351, 31.1603
0.2447, 0.1092, 0.0989, -20.9618, -1.8473, 24.6031
0.2427, 0.0948, 0.0544, -10.0687, -7.6183, 21.6641
0.3853, 0.2437, 0.2908, -3.6031, -32.5649, 55.0992
0.2401, 0.1060, 0.0349, 6.8015, -35.7252, 53.9695
0.2151, 0.0308, 0.0049, 11.3130, -37.8473, 66.0763
