SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.3336, -0.3180, 0.1586, 47.4504, 33.8779, -5.2977
0.3468, -0.3058, 0.2672, 59.0305, 16.4809, -16.2595
0.3092, -0.3082, 0.2643, 66.1603, 4.0229, -23.4962
0.2738, -0.2970, 0.1674, 74.7634, 0.6565, -21.6107
0.2587, -0.3373, 0.1486, 74.9389, -9.0458, -20.3511
0.2528, -0.3556, 0.1422, 76.1908, 10.2824, -16.3435
0.2775, -0.3783, 0.2660, 70.8397, -12.3969, -20.6336
0.2921, -0.3417, 0.3153, 60.8702, 6.9237, -20.3435
0.2142, -0.3258, 0.1974, 17.4580, 2.1756, -4.9084
0.2572, -0.3424, 0.2577, -2.6107, -12.4504, -0.7328
0.2484, -0.3446, 0.2369, 5.1527, -17.3282, -6.3893
0.2311, -0.3256, 0.1444, 17.9695, -8.7405, -12.1527
0.2433, -0.3693, 0.2394, 13.5573, -0.2519, -11.4733
0.2345, -0.3866, 0.3087, 2.2290, 11.6718, -18.0458
0.2301, -0.3593, 0.2948, -8.9084, 17.0153, -17.6565
0.2462, -0.3092, 0.2040, -15.2824, 22.2214, -17.6107
0.2699, -0.2306, 0.1656, -20.5802, 25.4733, -10.0000
0.2914, -0.1810, 0.1844, -26.7176, 29.8855, 2.8321
0.3065, -0.1368, 0.2384, -31.3969, 41.4656, 24.5267
0.2992, -0.1456, 0.3158, -27.7405, 52.1298, 42.0076
0.2823, -0.2108, 0.4266, -22.0763, 55.5649, 46.1221
0.2697, -0.2955, 0.5172, -14.6489, 43.9847, 46.3359
0.2281, -0.2867, 0.4657, -5.7863, 42.9160, 39.7252
0.2113, -0.2963, 0.3573, -3.1298, 47.6641, 36.2748
0.1840, -0.3234, 0.3641, 16.7863, 12.2824, -0.0305
